"X7_CAMPO","X7_SEQUENC","X7_REGRA","X7_CDOMIN","X7_TIPO","X7_SEEK","X7_ALIAS","X7_ORDEM","X7_CHAVE","X7_CONDIC","X7_PROPRI"
"EE7_CONSIG","001","IF(!EMPTY(M->EE7_CONSIG),SA1->A1_NOME,"""")","EE7_CONSDE","P","S","SA1","1","XFILIAL(""SA1"")+M->EE7_CONSIG+IF(!EMPTY(M->EE7_COLOJA),M->EE7_COLOJA,"""")","","S"
"EE7_CONSIG","002","IF(!EMPTY(M->EE7_CONSIG),SA1->A1_LOJA,"""")","EE7_COLOJA","P","S","SA1","1","XFILIAL(""SA1"")+M->EE7_CONSIG+IF(!EMPTY(M->EE7_COLOJA),M->EE7_COLOJA,"""")","","S"
"EE7_DIASPA","001","SY6->(MSMM(SY6->Y6_DESC_P,50,,,3))","EE7_DESCPA","P","S","SY6","1","XFILIAL(""SY6"")+M->EE7_CONDPA+STR(M->EE7_DIASPA,AVSX3(""EE7_DIASPA"",3))","!EMPTY(M->EE7_DIASPA)","S"
"EE7_DTAPCR","001","IF(!EMPTY(M->EE7_DTAPCR).AND.M->EE7_STATUS$""1/2"",""3"",M->EE7_STATUS)","EE7_STATUS","P","N","","0","","!EMPTY(M->EE7_DTAPCR)","S"
"EE7_DTAPCR","002","DSCSITEE7()","EE7_STTDES","P","N","","0","","!EMPTY(M->EE7_DTAPCR)","S"
"EE7_DTPROC","001","IF(EMPTY(M->EE7_MPGEXP),"""",EEF->EEF_DESC)","EE7_IMPORT","P","S","","0","XFILIAL(""EEF"")+M->EE7_MPGEXP","","S"
"EE7_DTPROC","002","IF(EMPTY(M->EE7_MPGEXP),"""",EEF->EEF_DESC)","EE7_DSCMPE","P","S","","0","","","S"
"EE7_DTSLCR","001","IF(!EMPTY(M->EE7_DTSLCR).AND.M->EE7_STATUS$""1"",""2"",M->EE7_STATUS)","EE7_STATUS","P","N","","0","","","S"
"EE7_DTSLCR","002","IF(EMPTY(M->EE7_DTSLCR),""1"",M->EE7_STATUS)","EE7_STATUS","P","N","","0","","","S"
"EE7_DTSLCR","003","DSCSITEE7()","EE7_STTDES","P","N","","0","","","S"
"EE7_EMBAFI","001","AP100CUBAGEM(.T.,""P"")","EE7_CUBAGE","P","N","","0","","!EMPTY(M->EE7_EMBAFI)","S"
"EE7_EXLOJA","001","IF(!EMPTY(M->EE7_EXLOJA),SA2->A2_NOME,"""")","EE7_EXPODE","P","S","SA2","1","XFILIAL(""SA2"")+M->EE7_EXPORT+IF(!EMPTY(M->EE7_EXLOJA),M->EE7_EXLOJA,"""")","","S"
"EE7_EXPORT","001","IF(!EMPTY(M->EE7_EXPORT),SA2->A2_NOME,"""")","EE7_EXPODE","P","S","SA2","1","XFILIAL(""SA2"")+M->EE7_EXPORT+IF(!EMPTY(M->EE7_EXLOJA),M->EE7_EXLOJA,"""")","","S"
"EE7_EXPORT","002","IF(!EMPTY(M->EE7_EXPORT),SA2->A2_LOJA,"""")","EE7_EXLOJA","P","S","SA2","1","XFILIAL(""SA2"")+M->EE7_EXPORT+IF(!EMPTY(M->EE7_EXLOJA),M->EE7_EXLOJA,"""")","","S"
"EE7_FOLOJA","001","IF(!EMPTY(M->EE7_FOLOJA),SA2->A2_NOME,"""")","EE7_FORNDE","P","S","SA2","1","XFILIAL(""SA2"")+M->EE7_FORN+M->EE7_FOLOJA","","S"
"EE7_FORN","001","SA2->A2_NOME","EE7_FORNDE","P","N","","0","","","S"
"EE7_FORN","002","SA2->A2_LOJA","EE7_FOLOJA","P","N","","0","","","S"
"EE7_IMLOJA","001","SA1->A1_NOME","EE7_IMPODE","P","S","SA1","1","XFILIAL(""SA1"")+M->EE7_IMPORT+M->EE7_IMLOJA","","S"
"EE7_IMLOJA","002","AP100Import()","EE7_VALCOM","P","N","","0","","","S"
"EE7_IMLOJA","003","IF(!EMPTY(SA1->A1_CONDPAG),SA1->A1_CONDPAG,M->EE7_CONDPA)","EE7_CONDPA","P","N","","0","","","S"
"EE7_IMLOJA","004","IF(!EMPTY(SA1->A1_CONDPAG),SA1->A1_DIASPAG,M->EE7_DIASPA)","EE7_DIASPA","P","N","","0","","","S"
"EE7_IMLOJA","005","EECMEND(""SA1"",1,M->EE7_IMPORT+M->EE7_IMLOJA,.T.,,1)","EE7_ENDIMP","P","N","","0","","","S"
"EE7_IMLOJA","006","EECMEND(""SA1"",1,M->EE7_IMPORT+M->EE7_IMLOJA,.T.,,2)","EE7_END2IM","P","N","","0","","","S"
"EE7_IMLOJA","007","POSICIONE(""SYA"",1,xFilial(""SYA"")+SA1->A1_PAIS,""YA_IDIOMA"")","EE7_IDIOMA","P","N","","0","","!Empty(SA1->A1_PAIS)","S"
"EE7_IMPORT","001","SA1->A1_NOME","EE7_IMPODE","P","N","","0","","","S"
"EE7_IMPORT","002","SA1->A1_LOJA","EE7_IMLOJA","P","N","","0","","","S"
"EE7_IMPORT","003","AP100Import()","EE7_VALCOM","P","N","","0","","","S"
"EE7_IMPORT","004","IF(!EMPTY(SA1->A1_CONDPAG),SA1->A1_CONDPAG,M->EE7_CONDPA)","EE7_CONDPA","P","N","","0","","","S"
"EE7_IMPORT","005","IF(!EMPTY(SA1->A1_CONDPAG),SA1->A1_DIASPAG,M->EE7_DIASPA)","EE7_DIASPA","P","N","","0","","","S"
"EE7_IMPORT","006","EECMEND(""SA1"",1,M->EE7_IMPORT+M->EE7_IMLOJA,.T.,,1)","EE7_ENDIMP","P","N","","0","","","S"
"EE7_IMPORT","007","EECMEND(""SA1"",1,M->EE7_IMPORT+M->EE7_IMLOJA,.T.,,2)","EE7_END2IM","P","N","","0","","","S"
"EE7_IMPORT","008","POSICIONE(""SYA"",1,xFilial(""SYA"")+SA1->A1_PAIS,""YA_IDIOMA"")","EE7_IDIOMA","P","N","","0","","!Empty(SA1->A1_PAIS)","S"
"EE7_INCOTE","001","IF(!EMPTY(SYJ->YJ_FRPPCC),SYJ->YJ_FRPPCC,M->EE7_FRPPCC)","EE7_FRPPCC","P","S","SYJ","1","XFILIAL(""SYJ"")+M->EE7_INCOTE","","S"
"EE7_INCOTE","002","M->EE7_INCOTE","EE7_INCO2","P","N","","0","","","S"
"EE7_MOTSIT","001","IF(!EMPTY(M->EE7_MOTSIT),EE4->(MSMM(EE4->EE4_TEXTO,60)),"""")","EE7_DSCMTS","P","S","EE4","1","XFILIAL(""EE4"")+M->EE7_MOTSIT+""1""","","S"
"EE7_MPGEXP","001","IF(EMPTY(M->EE7_MPGEXP),"""",EEF->EEF_DESC)","EE7_DSCMPE","P","S","EEF","1","XFILIAL(""EEF"")+M->EE7_MPGEXP","","S"
"EE7_UNIDAD","001","IF(ALLWAYSTRUE(AP100TTELA(.F.)),M->EE7_UNIDAD,NIL)","EE7_UNIDAD","P","N","","0","","","S"
"EE8_CODAGE","001","If(!Empty(M->EE8_CODAGE),WorkAg->EEB_NOME,Space(1))","EE8_DSCAGE","P","N","","0","","","S"
"EE8_CODNOR","001","MSMM(EEI->EEI_DESC,60,1)","EE8_VM_NOR","P","S","EEI","1","XFILIAL(""EEI"")+M->EE8_CODNOR","!EMPTY(M->EE8_CODNOR)","S"
"EE8_COD_I","001","SB1->B1_PESO","EE8_PSLQUN","P","N","","0","","","S"
"EE8_COD_I","002","SB1->B1_CODEMB","EE8_EMBAL1","P","N","","0","","","S"
"EE8_COD_I","003","SB1->B1_UM","EE8_UNIDAD","P","N","","0","","","S"
"EE8_COD_I","004","SB1->B1_QE","EE8_QE","P","N","","0","","","S"
"EE8_COD_I","005","IF(EECPPE07(""CALCEMB""),M->EE8_DESC,M->EE8_DESC)","EE8_DESC","P","N","","0","","","S"
"EE8_COD_I","006","IF(AP100PrecoI(),M->EE8_DESC,M->EE8_DESC)","EE8_DESC","P","N","","0","","","S"
